URL,DATE,PRICE
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fa/fa201813-9660-466b-afc2-cb0ea8f18b1f?rule=kijijica-200-jpg,29/01/2023,"$2,400.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ce/cef8e8e7-54b1-411f-ba8c-292f6d606b14?rule=kijijica-200-jpg,24/01/2023,"$1,946.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/9d/9d139811-1aca-41eb-a7e5-f68e18ba9155?rule=kijijica-200-jpg,23/01/2023,"$1,600.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d7/d7aa2b9b-4d7e-4ac6-ac31-9b13271367a4?rule=kijijica-200-jpg,01/02/2023,"$2,152.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e2/e21772dd-a8a5-4bc1-9265-47e5fe475dee?rule=kijijica-200-jpg,< 7 minutes ago,"$2,195.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/36/362561b0-7c92-475c-8cad-d0d3cc86e757?rule=kijijica-200-jpg,< 8 minutes ago,"$2,600.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/88/88482a33-ead0-41f7-8892-41c365ae2f82?rule=kijijica-200-jpg,< 10 minutes ago,"$1,400.00"
None,< 11 minutes ago,"$1,500.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/8c/8c236696-f150-4a13-b915-9b14baccc4d5?rule=kijijica-200-jpg,< 17 minutes ago,"$2,300.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7c/7c9bf2f8-5f84-4f01-84e2-fe21511e6c12?rule=kijijica-200-jpg,< 19 minutes ago,"$1,800.00"
None,< 22 minutes ago,"$1,600.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2e/2ef63ed7-5bc3-4fb1-9df4-677c35c899f3?rule=kijijica-200-jpg,< 24 minutes ago,"$1,900.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/db/dba8cb76-f1c0-4629-9b12-35d5a836b732?rule=kijijica-200-jpg,< 24 minutes ago,"$3,200.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/14/14864338-20f8-4fb8-aec1-e951c5660795?rule=kijijica-200-jpg,< 24 minutes ago,"$1,999.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d5/d591377c-07e9-4d26-aea3-65e17d126ed9?rule=kijijica-200-jpg,< 27 minutes ago,"$3,200.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e8/e87aec99-da09-4e9b-8ef4-e5b3daabf7b7?rule=kijijica-200-jpg,< 30 minutes ago,"$2,600.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/23/231c4486-719c-4674-acd7-772a21df41de?rule=kijijica-200-jpg,< 33 minutes ago,"$2,750.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7d/7d86b8c4-9a2e-4a2a-9a67-57b0af88bc9c?rule=kijijica-200-jpg,< 33 minutes ago,"$2,650.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fe/fec481ba-9ff1-4409-bd11-991a8b9be867?rule=kijijica-200-jpg,< 33 minutes ago,"$2,750.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e2/e28a2803-76b8-4bba-8bf6-b73be9af060f?rule=kijijica-200-jpg,< 35 minutes ago,"$1,450.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ae/ae4211c4-d382-47da-baaa-dc06bfa025d2?rule=kijijica-200-jpg,< 36 minutes ago,"$3,150.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/75/75028bb2-913b-4ac5-9ffc-c0014de5ea72?rule=kijijica-200-jpg,< 37 minutes ago,"$3,200.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/65/65dedd68-abb4-4baf-9c9c-52de2ee99789?rule=kijijica-200-jpg,< 38 minutes ago,"$1,850.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a5/a553d8bf-7494-41b3-bb6e-e66b1ee134c8?rule=kijijica-200-jpg,< 44 minutes ago,"$2,300.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d6/d6d9f347-3498-423c-84d6-263cba22fd81?rule=kijijica-200-jpg,< 45 minutes ago,"$2,500.00"
